------------------------ Device specifications ------------------------
Device:              GRID T4-8C
CUDA driver version: 11.10
GPU clock rate:      1590 MHz
Memory clock rate:   2500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    8192 MB
ECC enabled:         Yes
Compute Capability:  7.5
Total SPs:           2560 (40 MPs x 64 SPs/MP)
Compute throughput:  8140.80 GFlops (theoretical single precision FMAs)
Memory bandwidth:    320.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8589934592, free 7324872704
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    1.04,   32.35, 129.39,      0.125,    2.27,   14.80, 118.37,      0.500,    1.13,   59.14, 118.28,     0.250,    1.04,   32.39, 129.54
            1,      0.750,    1.03,   97.26, 129.68,      0.375,    2.38,   42.27, 112.71,      1.500,    1.04,  194.36, 129.58,     0.750,    1.03,   97.37, 129.83
            2,      1.250,    1.03,  162.95, 130.36,      0.625,    2.27,   73.80, 118.07,      2.500,    0.92,  364.71, 145.89,     1.250,    1.03,  162.81, 130.25
            3,      1.750,    1.03,  228.27, 130.44,      0.875,    2.57,   91.26, 104.29,      3.500,    1.03,  455.39, 130.11,     1.750,    1.03,  229.02, 130.87
            4,      2.250,    1.03,  294.48, 130.88,      1.125,    3.22,   93.88,  83.45,      4.500,    1.03,  587.05, 130.46,     2.250,    0.91,  331.09, 147.15
            5,      2.750,    1.01,  363.72, 132.26,      1.375,    3.88,   95.07,  69.14,      5.500,    1.13,  653.80, 118.87,     2.750,    0.91,  404.14, 146.96
            6,      3.250,    1.03,  424.83, 130.72,      1.625,    4.63,   94.17,  57.95,      6.500,    1.02,  851.71, 131.03,     3.250,    1.03,  425.30, 130.86
            7,      3.750,    1.12,  447.74, 119.40,      1.875,    5.18,   97.25,  51.87,      7.500,    1.02,  984.44, 131.26,     3.750,    1.02,  491.26, 131.00
            8,      4.250,    1.03,  554.46, 130.46,      2.125,    6.04,   94.49,  44.46,      8.500,    1.03, 1112.95, 130.94,     4.250,    1.24,  461.75, 108.65
            9,      4.750,    1.02,  622.16, 130.98,      2.375,    6.80,   93.74,  39.47,      9.500,    0.91, 1394.43, 146.78,     4.750,    1.03,  621.94, 130.93
           10,      5.250,    1.03,  687.00, 130.86,      2.625,    7.45,   94.53,  36.01,     10.500,    1.03, 1373.52, 130.81,     5.250,    1.03,  686.95, 130.85
           11,      5.750,    1.02,  753.21, 130.99,      2.875,    8.09,   95.45,  33.20,     11.500,    1.03, 1502.67, 130.67,     5.750,    1.02,  756.39, 131.55
           12,      6.250,    0.91,  919.86, 147.18,      3.125,    8.86,   94.71,  30.31,     12.500,    1.03, 1635.72, 130.86,     6.250,    1.24,  675.30, 108.05
           13,      6.750,    1.13,  803.34, 119.01,      3.375,    9.46,   95.77,  28.38,     13.500,    1.13, 1607.99, 119.11,     6.750,    1.02,  888.64, 131.65
           14,      7.250,    0.91, 1064.10, 146.77,      3.625,   10.17,   95.65,  26.38,     14.500,    1.03, 1893.92, 130.61,     7.250,    1.03,  946.97, 130.62
           15,      7.750,    1.13,  923.38, 119.15,      3.875,   10.80,   96.29,  24.85,     15.500,    1.03, 2025.55, 130.68,     7.750,    1.03, 1012.31, 130.62
           16,      8.250,    1.03, 1078.30, 130.70,      4.125,   11.70,   94.62,  22.94,     16.500,    1.03, 2157.40, 130.75,     8.250,    1.25,  888.11, 107.65
           17,      8.750,    1.02, 1146.47, 131.02,      4.375,   12.35,   95.06,  21.73,     17.500,    1.03, 2284.96, 130.57,     8.750,    1.03, 1144.84, 130.84
           18,      9.250,    1.03, 1208.48, 130.65,      4.625,   13.01,   95.42,  20.63,     18.500,    1.03, 2419.89, 130.80,     9.250,    1.03, 1210.39, 130.85
           20,     10.250,    0.98, 1404.00, 136.98,      5.125,   14.31,   96.17,  18.76,     20.500,    1.03, 2677.43, 130.61,    10.250,    1.35, 1015.90,  99.11
           22,     11.250,    1.03, 1467.35, 130.43,      5.625,   16.01,   94.33,  16.77,     22.500,    1.02, 2959.54, 131.54,    11.250,    0.68, 2214.93, 196.88
           24,     12.250,    1.13, 1458.87, 119.09,      6.125,   17.17,   95.78,  15.64,     24.500,    1.13, 2911.44, 118.83,    12.250,    1.26, 1307.90, 106.77
           28,     14.250,    1.02, 1883.06, 132.14,      7.125,   19.97,   95.76,  13.44,     28.500,    1.03, 3717.33, 130.43,    14.250,    1.47, 1298.00,  91.09
           32,     16.250,    0.83, 2641.53, 162.56,      8.125,   22.72,   96.00,  11.81,     32.500,    0.96, 4537.37, 139.61,    16.250,    1.27, 1716.99, 105.66
